Generation,Sample_ID,Sex,Morph,Sex_Morph,Juv_Forewing_Length,Juv_Hindwing_Length,Juv_Ave_Pro,Pro_Juv1,Pro_Juv2,Pro_Juv3,Note,
F4_Mating trial_2022,JS19,M,Sw,M_Sw,3.34,4.29,3.44,3.48,3.42,3.41,,
F4_Mating trial_2022,JS20,M,Sw,M_Sw,3.29,4.35,3.61,3.60,3.58,3.66,,
F4_Mating trial_2022,JS21,M,Sw,M_Sw,3.77,4.66,3.74,3.80,3.73,3.68,,
F4_Mating trial_2022,JS22,M,Sw,M_Sw,3.42,4.73,3.56,3.60,3.53,3.55,,
F4_Mating trial_2022,JS23,M,Sw,M_Sw,3.59,4.45,3.69,3.74,3.69,3.63,,
F4_Mating trial_2022,JS24,M,Sw,M_Sw,2.98,4.31,3.19,3.24,3.19,3.13,,
F4_Mating trial_2022,JS25,M,Sw,M_Sw,3.17,4.41,3.21,3.20,3.24,3.20,,
F4_Mating trial_2022,JS26,M,Sw,M_Sw,3.33,4.55,3.59,3.60,3.58,3.59,,
F4_Mating trial_2022,JS27,M,Sw,M_Sw,2.91,3.71,3.44,2.75,3.79,3.78,,
F4_Mating trial_2022,JS28,M,Sw,M_Sw,3.63,4.76,3.61,3.57,3.62,3.63,,
F4_Mating trial_2022,JL02,M,Lw,M_Lw,4.29,5.73,3.21,3.23,3.19,3.22,,
F4_Mating trial_2022,JL03,M,Lw,M_Lw,4.57,6.03,3.54,3.57,3.51,3.53,,
F4_Mating trial_2022,JL04,M,Lw,M_Lw,4.60,6.02,3.50,3.50,3.53,3.48,,
F4_Mating trial_2022,JL05,M,Lw,M_Lw,4.46,5.81,3.32,3.28,3.35,3.32,,
F4_Mating trial_2022,JL06,M,Lw,M_Lw,4.60,5.80,3.55,3.59,3.54,3.53,,
F4_Mating trial_2022,JL07,M,Lw,M_Lw,4.96,6.14,3.67,3.65,3.74,3.62,,
F4_Mating trial_2022,JL08,M,Sw,M_Sw,3.97,5.13,3.67,3.65,3.65,3.70,,
F4_Mating trial_2022,JL09,M,Lw,M_Lw,4.75,5.90,3.40,3.34,3.41,3.44,,
F4_Mating trial_2022,JL10,M,Lw,M_Lw,4.57,5.94,3.41,3.39,3.43,3.41,,
F4_Mating trial_2022,JL11,M,Lw,M_Lw,4.94,6.22,3.93,3.96,3.85,3.99,,
F4_Mating trial_2022,JL12,M,Lw,M_Lw,4.09,5.30,3.02,3.01,3.00,3.04,,
F4_Mating trial_2022,JL13,M,Lw,M_Lw,4.70,6.13,3.77,3.77,3.81,3.74,,
F4_Mating trial_2022,JL14,M,Lw,M_Lw,4.53,6.08,3.48,3.45,3.54,3.46,,
F4_Mating trial_2022,JL15,M,Lw,M_Lw,4.76,6.10,3.66,3.66,3.62,3.71,,
F4_Mating trial_2022,JL16,M,Lw,M_Lw,4.61,6.04,3.41,3.40,3.38,3.45,,
F4_Mating trial_2022,JL17,M,Lw,M_Lw,4.85,5.98,3.61,3.53,3.64,3.67,,
F4_Mating trial_2022,JL18,M,Lw,M_Lw,4.58,5.83,3.30,3.30,3.31,3.29,,
F4_Mating trial_2022,JL19,M,Lw,M_Lw,4.44,5.89,3.22,3.22,3.27,3.17,,
F4_Mating trial_2022,JLS29,M,Sw,M_Sw,3.49,4.27,3.48,3.45,3.47,3.52,,
F4_Mating trial_2022,JLS30,M,Sw,M_Sw,3.30,4.28,3.31,3.32,3.29,3.32,,
F4_Mating trial_2022,JLS31,M,Sw,M_Sw,3.13,4.45,3.32,3.32,3.32,3.31,Forewing: only has leftwing,
F4_Mating trial_2022,JL20,M,Lw,M_Lw,4.75,5.86,3.55,3.51,3.60,3.55,,
F4_Mating trial_2022,JL21,M,Lw,M_Lw,4.25,5.46,3.51,3.49,3.55,3.49,,
F4_Mating trial_2022,JL22,M,Lw,M_Lw,4.79,6.50,3.82,3.83,3.80,3.83,,
F4_Mating trial_2022,JL23,M,Lw,M_Lw,4.94,5.95,3.77,3.81,3.74,3.76,,
F4_Mating trial_2022,JL24,M,Lw,M_Lw,4.60,5.98,3.73,3.72,3.71,3.75,,
F4_Mating trial_2022,JL25,M,Lw,M_Lw,4.68,5.75,3.48,3.57,3.45,3.43,,
F4_Mating trial_2022,JL26,M,Lw,M_Lw,4.42,5.72,3.48,3.47,3.49,3.49,,
F4_Mating trial_2022,JL27,M,Lw,M_Lw,4.61,5.90,3.68,3.67,3.65,3.72,,
F4_Mating trial_2022,JL28,M,Lw,M_Lw,4.58,5.70,3.82,3.78,3.80,3.89,,
F4_Mating trial_2022,JL29,M,Lw,M_Lw,4.40,5.83,3.39,3.37,3.38,3.42,,
F4_Mating trial_2022,JL30,M,Lw,M_Lw,4.80,5.87,3.68,3.64,3.70,3.69,,
F5_Longevity_2023,P146_LW1,M,Lw,M_Lw,3.90 ,5.33 ,3.73,3.74 ,3.71 ,3.75 ,,
F5_Longevity_2023,P146_LW2,M,Lw,M_Lw,3.66 ,6.02 ,4.00,3.99 ,3.95 ,4.06 ,,
F5_Longevity_2023,P146_LW3,M,Lw,M_Lw,3.52 ,5.58 ,3.84,3.87 ,3.83 ,3.82 ,,
F5_Longevity_2023,P146_LW4,M,Lw,M_Lw,3.22 ,5.26 ,3.83,3.86 ,3.80 ,3.82 ,,
F5_Longevity_2023,P146_LW_F1,F,Lw,F_Lw,3.59 ,5.64 ,3.56,3.57 ,3.53 ,3.59 ,,
F5_Longevity_2023,P146_LW_F2,F,Lw,F_Lw,3.37 ,5.92 ,3.53,3.54 ,3.50 ,3.54 ,,
F5_Longevity_2023,P146_LW_F3,F,Lw,F_Lw,3.21 ,5.94 ,3.56,3.58 ,3.54 ,3.57 ,,
F5_Longevity_2023,P146_LW_F4,F,Lw,F_Lw,3.47 ,6.09 ,3.67,3.72 ,3.63 ,3.65 ,,
F5_Longevity_2023,P149_SW1,M,Sw,M_Sw,2.07 ,4.46 ,3.68,3.67 ,3.73 ,3.64 ,,
F5_Longevity_2023,P149_SW2,M,Sw,M_Sw,2.67 ,4.34 ,3.43,3.41 ,3.43 ,3.44 ,,
F5_Longevity_2023,P149_SW3,M,Sw,M_Sw,2.54 ,4.48 ,3.70,3.74 ,3.65 ,3.70 ,,
F5_Longevity_2023,P149_SW4,M,Sw,M_Sw,2.27 ,4.30 ,3.63,3.67 ,3.62 ,3.60 ,,
F5_Longevity_2023,P149_SW5,M,Sw,M_Sw,2.41 ,4.25 ,3.69,3.65 ,3.76 ,3.66 ,,
F5_Longevity_2023,P149_SW6,M,Sw,M_Sw,2.60 ,4.55 ,3.73,3.70 ,3.76 ,3.74 ,,
F5_Longevity_2023,P149_SW7,M,Sw,M_Sw,2.44 ,4.00 ,3.74,3.72 ,3.77 ,3.73 ,,
F5_Longevity_2023,P149_SW8,M,Sw,M_Sw,2.69 ,4.28 ,3.46,3.46 ,3.43 ,3.49 ,,
F5_Longevity_2023,P149_SW9,M,Sw,M_Sw,2.67 ,3.98 ,3.70,3.73 ,3.64 ,3.73 ,,
F5_Longevity_2023,P149_SW10,M,Sw,M_Sw,2.70 ,4.32 ,3.51,3.53 ,3.50 ,3.49 ,,
F5_Longevity_2023,P149_SW11,M,Sw,M_Sw,2.51 ,4.64 ,3.70,3.69 ,3.68 ,3.74 ,,
F5_Longevity_2023,P149_SW12,M,Sw,M_Sw,2.29 ,4.41 ,3.46,3.42 ,3.51 ,3.45 ,,
F5_Longevity_2023,P149_SW13,M,Sw,M_Sw,2.35 ,4.73 ,3.65,3.65 ,3.60 ,3.69 ,,
F5_Longevity_2023,P149_LW_F1,F,Lw,F_Lw,3.32 ,5.81 ,3.37,3.37 ,3.39 ,3.35 ,,
F5_Longevity_2023,P149_LW_F2,F,Lw,F_Lw,3.58 ,5.93 ,3.55,3.56 ,3.54 ,3.56 ,,
F5_Longevity_2023,P149_LW_F3,F,Lw,F_Lw,3.72 ,5.91 ,3.70,3.71 ,3.72 ,3.68 ,,
F5_Longevity_2023,P149_LW_F4,F,Lw,F_Lw,3.27 ,5.84 ,3.72,3.73 ,3.73 ,3.70 ,,
F5_Longevity_2023,P149_LW_F5,F,Lw,F_Lw,3.40 ,5.51 ,3.50,3.59 ,3.43 ,3.47 ,,
F5_Longevity_2023,P149_LW_F6,F,Lw,F_Lw,3.65 ,5.96 ,3.77,3.76 ,3.76 ,3.78 ,,
F5_Longevity_2023,P149_LW_F7,F,Lw,F_Lw,3.60 ,5.80 ,3.58,3.63 ,3.54 ,3.58 ,,
F5_Longevity_2023,P149_LW_F8,F,Lw,F_Lw,3.53 ,5.92 ,3.77,3.84 ,3.70 ,3.78 ,,
F5_Longevity_2023,P149_LW_F9,F,Lw,F_Lw,3.61 ,5.93 ,3.59,3.57 ,3.60 ,3.60 ,,
F5_Longevity_2023,P145_LW_F1,F,Lw,F_Lw,3.56 ,6.06 ,3.75,3.73 ,3.76 ,3.75 ,,
F5_Longevity_2023,P145_LW_F2,F,Lw,F_Lw,3.57 ,5.96 ,3.51,3.51 ,3.51 ,3.50 ,,
F5_Longevity_2023,P136_SW1,M,Sw,M_Sw,2.90 ,4.70 ,3.97,3.99 ,3.98 ,3.94 ,,
F5_Longevity_2023,P136_SW2,M,Sw,M_Sw,2.82 ,4.81 ,3.76,3.72 ,3.74 ,3.81 ,,
F5_Longevity_2023,P136_SW3,M,Sw,M_Sw,2.60 ,4.97 ,3.83,3.81 ,3.82 ,3.86 ,Forewing: only has leftwing,
F5_Longevity_2023,P136_SW4,M,Sw,M_Sw,2.76 ,4.94 ,3.89,3.83 ,3.92 ,3.93 ,,
F5_Longevity_2023,P136_SW5,M,Sw,M_Sw,2.69 ,4.66 ,3.89,3.88 ,3.87 ,3.93 ,,
F5_Longevity_2023,P136_SW6,M,Sw,M_Sw,2.46 ,4.44 ,3.93,3.90 ,3.93 ,3.95 ,,
F5_Longevity_2023,P136_SW7,M,Sw,M_Sw,2.80 ,4.92 ,3.66,3.67 ,3.65 ,3.66 ,,
F5_Longevity_2023,P136_SW8,M,Sw,M_Sw,2.73 ,4.46 ,3.61,3.64 ,3.61 ,3.59 ,,
F5_Longevity_2023,P136_SW9,M,Sw,M_Sw,2.74 ,4.85 ,3.91,3.95 ,3.88 ,3.91 ,,
F5_Longevity_2023,P136_SW10,M,Sw,M_Sw,2.49 ,4.71 ,3.86,3.85 ,3.88 ,3.84 ,,
F5_Longevity_2023,P136_SW_F1,F,Sw,F_Sw,2.50 ,4.20 ,3.27,3.28 ,3.24 ,3.30 ,,
F5_Longevity_2023,P136_SW_F2,F,Sw,F_Sw,2.97 ,4.96 ,3.63,3.63 ,3.64 ,3.62 ,,
F5_Longevity_2023,P136_SW_F3,F,Sw,F_Sw,2.48 ,4.65 ,3.60,3.57 ,3.60 ,3.62 ,,
F5_Longevity_2023,P136_SW_F4,F,Sw,F_Sw,2.48 ,4.87 ,3.26,3.24 ,3.26 ,3.29 ,,
F5_Longevity_2023,P136_SW_F5,F,Sw,F_Sw,2.85 ,5.05 ,3.72,3.71 ,3.74 ,3.71 ,,
F5_Longevity_2023,P136_SW_F6,F,Sw,F_Sw,2.50 ,4.72 ,3.60,3.56 ,3.64 ,3.60 ,,
F5_Longevity_2023,P136_SW_F7,F,Sw,F_Sw,2.50 ,4.79 ,3.60,3.61 ,3.61 ,3.59 ,,
F5_Longevity_2023,P136_SW_F8,F,Sw,F_Sw,2.52 ,4.84 ,3.75,3.82 ,3.70 ,3.73 ,,
F5_Longevity_2023,P136_SW_F9,F,Sw,F_Sw,2.55 ,4.67 ,3.14,3.15 ,3.14 ,3.12 ,,
F5_Longevity_2023,P136_SW11,M,Sw,M_Sw,3.08 ,4.69 ,3.98,4.04 ,3.96 ,3.93 ,,
F5_Longevity_2023,P136_SW12,M,Sw,M_Sw,2.47 ,4.46 ,3.81,3.83 ,3.81 ,3.78 ,,
F5_Longevity_2023,P136_SW13,M,Sw,M_Sw,2.61 ,4.34 ,3.75,3.74 ,3.75 ,3.76 ,,
F5_Longevity_2023,P136_SW14,M,Sw,M_Sw,2.52 ,4.60 ,3.97,4.01 ,3.92 ,3.97 ,,
F5_Longevity_2023,P136_SW15,M,Sw,M_Sw,2.44 ,4.67 ,3.89,3.90 ,3.90 ,3.87 ,,
F5_Longevity_2023,P136_SW_F10,F,Sw,F_Sw,2.53 ,4.44 ,3.76,3.73 ,3.73 ,3.83 ,,
F5_Longevity_2023,P136_SW_F11,F,Sw,F_Sw,2.34 ,4.59 ,3.69,3.66 ,3.66 ,3.74 ,,
F5_Longevity_2023,P136_SW_F12,F,Sw,F_Sw,2.39 ,4.68 ,3.79,3.78 ,3.78 ,3.82 ,,
F5_Longevity_2023,P136_SW_F13,F,Sw,F_Sw,2.22 ,4.50 ,3.44,3.42 ,3.46 ,3.43 ,,
F5_Longevity_2023,P136_SW_F14,F,Sw,F_Sw,1.91 ,4.48 ,3.64,3.64 ,3.63 ,3.66 ,,
F5_Longevity_2023,P136_SW_F15,F,Sw,F_Sw,2.50 ,4.73 ,3.64,3.61 ,3.68 ,3.63 ,,
F5_Longevity_2023,P136_SW_F16,F,Sw,F_Sw,2.37 ,4.25 ,3.50,3.51 ,3.47 ,3.52 ,,
F5_Longevity_2023,P136_SW_F17,F,Sw,F_Sw,2.62 ,4.48 ,3.72,3.71 ,3.71 ,3.75 ,,
F5_Longevity_2023,P145_LW1,M,Lw,M_Lw,3.02 ,5.06 ,3.35,3.37 ,3.35 ,3.34 ,,
F5_Longevity_2023,P145_LW2,M,Lw,M_Lw,3.07 ,5.56 ,3.83,3.85 ,3.76 ,3.88 ,,
F5_Longevity_2023,P145_LW3,M,Lw,M_Lw,3.52 ,5.48 ,3.64,3.60 ,3.65 ,3.68 ,,
F5_Longevity_2023,P145_LW_F3,F,Lw,F_Lw,3.81 ,5.56 ,3.84,3.85 ,3.90 ,3.77 ,,
F5_Longevity_2023,P145_LW_F4,F,Lw,F_Lw,3.60 ,5.76 ,3.83,3.85 ,3.78 ,3.85 ,,
F5_Longevity_2023,P145_LW_F5,F,Lw,F_Lw,3.24 ,5.97 ,3.71,3.74 ,3.72 ,3.67 ,,
F5_Longevity_2023,P145_LW_F6,F,Lw,F_Lw,3.24 ,5.50 ,3.79,3.79 ,3.74 ,3.85 ,Hindwing:only has left wing,
F5_Longevity_2023,P145_LW_F7,F,Lw,F_Lw,3.24 ,6.04 ,3.80,3.83 ,3.73 ,3.85 ,,
F5_Longevity_2023,P145_LW_F8,F,Lw,F_Lw,3.27 ,5.87 ,3.73,3.76 ,3.71 ,3.73 ,,
F5_Longevity_2023,P146_LW_F5,F,Lw,F_Lw,3.49 ,5.71 ,3.53,3.56 ,3.50 ,3.54 ,,
F5_Longevity_2023,P146_LW_F6,F,Lw,F_Lw,3.61 ,5.79 ,3.67,3.62 ,3.71 ,3.67 ,,
F5_Longevity_2023,P146_LW_F7,F,Lw,F_Lw,3.94 ,6.20 ,3.57,3.52 ,3.57 ,3.61 ,,
F5_Longevity_2023,P146_LW_F8,F,Lw,F_Lw,3.86 ,5.74 ,3.28,3.28 ,3.27 ,3.28 ,,
F5_Longevity_2023,P146_LW_F9,F,Lw,F_Lw,3.70 ,6.18 ,3.60,3.56 ,3.64 ,3.60 ,,
F5_Longevity_2023,P146_LW_F10,F,Lw,F_Lw,3.27 ,5.29 ,3.13,3.12 ,3.12 ,3.14 ,,
F5_Longevity_2023,P146_LW_F11,F,Lw,F_Lw,3.97 ,6.16 ,3.67,3.76 ,3.64 ,3.60 ,,
F5_Longevity_2023,P146_LW_F12,F,Lw,F_Lw,3.10 ,5.43 ,3.39,3.36 ,3.40 ,3.40 ,,
F5_Longevity_2023,P146_LW_F13,F,Lw,F_Lw,3.88 ,5.76 ,3.60,3.57 ,3.65 ,3.57 ,,
F5_Longevity_2023,P146_LW_F14,F,Lw,F_Lw,3.30 ,5.49 ,3.37,3.33 ,3.39 ,3.40 ,,
F5_Longevity_2023,P146_LW_F15,F,Lw,F_Lw,3.11 ,5.45 ,3.15,3.16 ,3.16 ,3.12 ,,
F5_Longevity_2023,P146_LW_F16,F,Lw,F_Lw,3.76 ,6.00 ,3.53,3.47 ,3.55 ,3.58 ,,
F5_Longevity_2023,P146_LW_F17,F,Lw,F_Lw,3.18 ,5.82 ,3.27,3.32 ,3.23 ,3.26 ,,
F5_Longevity_2023,P146_LW_F18,F,Lw,F_Lw,3.92 ,5.74 ,3.44,3.49 ,3.40 ,3.42 ,,
F5_Longevity_2023,P146_LW_F19,F,Lw,F_Lw,2.91 ,5.35 ,3.37,3.42 ,3.31 ,3.39 ,,
F5_Longevity_2023,P146_LW_F20,F,Lw,F_Lw,3.51 ,5.87 ,3.59,3.59 ,3.55 ,3.64 ,,
F5_Longevity_2023,P146_LW_F21,F,Lw,F_Lw,3.43 ,5.79 ,3.50,3.45 ,3.53 ,3.52 ,,
F5_Longevity_2023,P146_LW5,M,Lw,M_Lw,3.98 ,5.81 ,3.45,3.45 ,3.42 ,3.48 ,,
F5_Longevity_2023,P146_LW6,M,Lw,M_Lw,3.63 ,5.60 ,3.45,3.44 ,3.47 ,3.44 ,,
F5_Longevity_2023,P146_LW7,M,Lw,M_Lw,3.80 ,5.89 ,3.75,3.67 ,3.82 ,3.77 ,,
F5_Longevity_2023,P146_LW8,M,Lw,M_Lw,3.94 ,6.30 ,3.96,3.94 ,3.99 ,3.96 ,,
F5_Longevity_2023,P146_LW9,M,Lw,M_Lw,3.59 ,5.68 ,3.63,3.60 ,3.63 ,3.67 ,,
F5_Longevity_2023,P146_LW10,M,Lw,M_Lw,3.98 ,5.95 ,4.00,4.04 ,4.00 ,3.97 ,,
F5_Longevity_2023,P146_LW11,M,Lw,M_Lw,3.77 ,5.66 ,3.55,3.53 ,3.55 ,3.57 ,,
F5_Longevity_2023,P146_LW12,M,Lw,M_Lw,3.99 ,6.25 ,4.00,4.01 ,4.02 ,3.98 ,,
F5_Longevity_2023,P146_LW13,M,Lw,M_Lw,3.69 ,5.73 ,3.74,3.72 ,3.74 ,3.77 ,,
F5_Longevity_2023,P146_LW14,M,Lw,M_Lw,4.00 ,6.01 ,3.41,3.40 ,3.40 ,3.42 ,,
F5_Longevity_2023,P146_LW15,M,Lw,M_Lw,4.24 ,5.77 ,3.68,3.72 ,3.66 ,3.67 ,,
F5_Longevity_2023,P146_LW16,M,Lw,M_Lw,3.03 ,5.41 ,3.71,3.75 ,3.70 ,3.68 ,,
F5_Longevity_2023,P146_LW17,M,Lw,M_Lw,4.12 ,5.94 ,3.77,3.72 ,3.78 ,3.80 ,,
F5_Longevity_2023,P146_LW18,M,Lw,M_Lw,4.18 ,6.29 ,3.92,3.89 ,3.92 ,3.96 ,,
F5_Longevity_2023,P146_LW19,M,Lw,M_Lw,3.18 ,5.23 ,3.32,3.30 ,3.27 ,3.39 ,,
F5_Longevity_2023,P146_LW20,M,Lw,M_Lw,4.06 ,6.05 ,3.70,3.68 ,3.68 ,3.75 ,,
F5_Longevity_2023,P146_LW21,M,Lw,M_Lw,3.70 ,5.66 ,3.53,3.51 ,3.53 ,3.54 ,,
F5_Longevity_2023,P146_LW22,M,Lw,M_Lw,3.50 ,5.51 ,3.61,3.65 ,3.56 ,3.63 ,,
F5_Longevity_2023,P146_LW23,M,Lw,M_Lw,3.67 ,5.84 ,3.49,3.47 ,3.47 ,3.54 ,,
F5_Longevity_2023,P149_SW14,M,Sw,M_Sw,2.48 ,4.45 ,3.84,3.84 ,3.82 ,3.85 ,,
F5_Longevity_2023,P149_SW15,M,Sw,M_Sw,2.61 ,4.47 ,3.45,3.43 ,3.46 ,3.45 ,,
F5_Longevity_2023,P149_SW16,M,Sw,M_Sw,3.35 ,4.63 ,3.59,3.64 ,3.61 ,3.52 ,,
F5_Longevity_2023,P149_SW17,M,Sw,M_Sw,2.52 ,4.27 ,3.98,3.94 ,3.99 ,4.01 ,,
F5_Longevity_2023,P149_SW18,M,Sw,M_Sw,2.92 ,4.75 ,3.55,3.58 ,3.50 ,3.56 ,,
F5_Longevity_2023,P149_SW19,M,Sw,M_Sw,2.74 ,4.58 ,3.69,3.65 ,3.72 ,3.71 ,,
F5_Longevity_2023,P149_SW20,M,Sw,M_Sw,2.46 ,4.65 ,3.70,3.76 ,3.65 ,3.69 ,,
F5_Longevity_2023,P149_SW21,M,Sw,M_Sw,2.73 ,4.69 ,3.83,3.83 ,3.81 ,3.85 ,,
F5_Longevity_2023,P149_SW22,M,Sw,M_Sw,2.66 ,4.54 ,3.69,3.71 ,3.66 ,3.69 ,,
F5_Longevity_2023,P149_SW23,M,Sw,M_Sw,2.61 ,4.38 ,3.66,3.62 ,3.69 ,3.66 ,,
F5_Longevity_2023,P149_SW24,M,Sw,M_Sw,2.22 ,4.96 ,3.92,3.93 ,3.90 ,3.94 ,,
F5_Longevity_2023,P149_LW_F10,F,Lw,F_Lw,3.29 ,5.57 ,3.37,3.37 ,3.31 ,3.44 ,,
F5_Longevity_2023,P149_LW_F11,F,Lw,F_Lw,3.20 ,5.07 ,3.42,3.45 ,3.46 ,3.34 ,,
F5_Longevity_2023,P149_LW_F12,F,Lw,F_Lw,3.46 ,5.12 ,3.28,3.30 ,3.24 ,3.29 ,,
F5_Longevity_2023,P149_LW_F13,F,Lw,F_Lw,3.66 ,6.03 ,3.83,3.81 ,3.88 ,3.79 ,,
F5_Longevity_2023,P143_SW_F1,F,Sw,F_Sw,2.37 ,4.99 ,3.72,3.68 ,3.75 ,3.73 ,,
F5_Longevity_2023,P143_SW_F2,F,Sw,F_Sw,2.73 ,4.75 ,3.72,3.74 ,3.68 ,3.75 ,,
F5_Longevity_2023,P143_SW_F3,F,Sw,F_Sw,2.48 ,4.54 ,3.69,3.72 ,3.62 ,3.73 ,,
F5_Longevity_2023,P143_SW_F4,F,Sw,F_Sw,2.48 ,4.83 ,3.79,3.79 ,3.77 ,3.80 ,,
F5_Longevity_2023,P143_SW_F5,F,Sw,F_Sw,1.97 ,4.29 ,3.55,3.60 ,3.51 ,3.53 ,,
F5_Longevity_2023,P143_SW_F6,F,Sw,F_Sw,1.98 ,4.35 ,3.56,3.57 ,3.57 ,3.53 ,,
F5_Longevity_2023,P143_SW_F7,F,Sw,F_Sw,2.00 ,4.12 ,3.57,3.51 ,3.60 ,3.60 ,,
F5_Longevity_2023,P143_SW_1,M,Sw,M_Sw,2.86 ,4.69 ,3.97,3.98 ,3.95 ,3.98 ,,
F5_Longevity_2023,P143_SW_2,M,Sw,M_Sw,2.51 ,4.84 ,3.74,3.72 ,3.72 ,3.77 ,,
F5_Longevity_2023,P143_SW_3,M,Sw,M_Sw,2.99 ,4.66 ,3.81,3.83 ,3.78 ,3.82 ,,
F5_Longevity_2023,P143_SW_4,M,Sw,M_Sw,2.24 ,4.63 ,3.84,3.77 ,3.89 ,3.87 ,,
F5_Longevity_2023,P143_SW_5,M,Sw,M_Sw,2.17 ,3.86 ,3.59,3.51 ,3.63 ,3.62 ,,
F5_Longevity_2023,P143_SW_6,M,Sw,M_Sw,2.74 ,4.66 ,3.96,4.00 ,3.92 ,3.95 ,,
F5_Longevity_2023,P143_SW_7,M,Sw,M_Sw,2.47 ,4.64 ,3.64,3.60 ,3.64 ,3.67 ,,
F5_Longevity_2023,P146_LW24,M,Lw,M_Lw,3.62 ,5.79 ,3.58,3.56 ,3.58 ,3.59 ,,
F5_Longevity_2023,P146_LW25,M,Lw,M_Lw,3.59 ,5.74 ,3.48,3.51 ,3.47 ,3.46 ,,
F5_Longevity_2023,P146_LW26,M,Lw,M_Lw,3.63 ,5.98 ,3.70,3.64 ,3.71 ,3.76 ,,
F5_Longevity_2023,P146_LW27,M,Lw,M_Lw,3.98 ,6.20 ,3.85,3.86 ,3.78 ,3.90 ,,
F5_Longevity_2023,P146_LW_F22,F,Lw,F_Lw,3.99 ,5.53 ,3.31,3.34 ,3.32 ,3.28 ,,
F5_Longevity_2023,P145_LW4,M,Lw,M_Lw,4.32 ,6.20 ,3.79,3.81 ,3.82 ,3.73 ,,
F5_Longevity_2023,P145_LW_F9,F,Lw,F_Lw,3.14 ,5.41 ,3.63,3.57 ,3.64 ,3.67 ,,
F5_Longevity_2023,P145_LW_F10,F,Lw,F_Lw,4.19 ,6.26 ,3.82,3.80 ,3.82 ,3.85 ,,
F5_Longevity_2023,P145_LW_F11,F,Lw,F_Lw,3.61 ,5.87 ,3.70,3.70 ,3.61 ,3.78 ,,
F5_Longevity_2023,P145_LW_F12,F,Lw,F_Lw,3.84 ,6.26 ,4.02,4.05 ,4.02 ,3.99 ,,
F5_Longevity_2023,P145_LW_F13,F,Lw,F_Lw,3.72 ,6.06 ,3.91,3.91 ,3.92 ,3.90 ,,
F5_Longevity_2023,P136_SW_F18,F,Sw,F_Sw,2.06 ,4.59 ,3.69,3.67 ,3.67 ,3.73 ,,
